wavelength (nm),intensity (counts)
794.49,32886
794.79,32758
795.1,32848
795.4,32915
795.71,32508
796.01,32566
796.32,31976
796.62,32133
796.93,33139
797.23,32537
797.53,33357
797.84,32002
798.14,32979
798.45,32886
798.75,32758
799.06,32566
799.36,32345
799.66,32668
799.97,32668
800.27,32226
800.57,31540
800.88,32668
801.18,32883
801.49,32601
801.79,32915
802.09,32601
802.4,32348
802.7,32540
803,32380
803.31,32569
803.61,32540
803.91,32290
804.22,32322
804.52,32447
804.82,31947
805.12,32258
805.43,32918
805.73,32255
806.03,33104
806.34,32604
806.64,32348
806.94,32947
807.24,32290
807.55,33142
807.85,32729
808.15,32947
808.45,32848
808.75,32261
809.06,32258
809.36,32482
809.66,32665
809.96,32226
810.26,32229
810.57,32546
810.87,32043
811.17,32319
811.47,33354
811.77,32604
812.08,31784
812.38,32110
812.68,31912
812.98,31886
813.28,32232
813.58,31572
813.88,32252
814.18,32726
814.49,31790
814.79,32473
815.09,32534
815.39,32729
815.69,33415
815.99,32575
816.29,33005
816.59,32165
816.89,32569
817.19,32761
817.49,32412
817.79,33139
818.1,33046
818.4,33444
818.7,32255
819,32569
819.3,33290
819.6,32857
819.9,32287
820.2,32476
820.5,32383
820.8,32601
821.1,33107
821.4,32828
821.7,32694
822,32322
822.3,32700
822.6,32822
822.9,32700
823.19,32918
823.49,32973
823.79,32665
824.09,32665
824.39,32822
824.69,32569
824.99,33005
825.29,32194
825.59,33575
825.89,32165
826.19,32726
826.49,32540
826.78,32703
827.08,32694
827.38,32726
827.68,32595
827.98,33918
828.28,32354
828.58,32889
828.87,32537
829.17,32136
829.47,32441
829.77,31819
830.07,33668
830.37,33014
830.66,32229
830.96,32790
831.26,32476
831.56,33008
831.86,32848
832.15,33069
832.45,32476
832.75,33043
833.05,32883
833.34,32322
833.64,32918
833.94,32915
834.24,32665
834.53,32883
834.83,33043
835.13,32979
835.43,32764
835.72,32383
836.02,32581
836.32,32784
836.61,32979
836.91,32287
837.21,31880
837.5,32473
837.8,32758
838.1,32511
838.39,31941
838.69,33290
838.99,32354
839.28,32886
839.58,31912
839.88,32985
840.17,33322
840.47,32886
840.76,32220
841.06,32508
841.36,32758
841.65,32726
841.95,32822
842.24,32665
842.54,34360
842.84,32470
843.13,32508
843.43,32534
843.72,32857
844.02,33383
844.31,32540
844.61,32790
844.9,32415
845.2,31880
845.5,32011
845.79,32633
846.09,32165
846.38,32380
846.68,32790
846.97,31918
847.27,33354
847.56,33165
847.85,32194
848.15,32223
848.44,32133
848.74,31915
849.03,32255
849.33,32758
849.62,31848
849.92,32450
850.21,32729
850.5,32505
850.8,33386
851.09,32941
851.39,32758
851.68,32287
851.97,32819
852.27,32572
852.56,32915
852.86,32290
853.15,32508
853.44,32351
853.74,31755
854.03,32886
854.32,32662
854.62,33034
854.91,32665
855.2,32790
855.5,32319
855.79,32473
